condition,mass,rel,ixc
Cyt 0.5% TFA,11.08,0.2514077695093554,75861186244.0
Cyt 0.5% TFA,3.92,0.2301047698486346,69433100000.0
Cyt 0.5% TFA,10.1,0.15375999262318968,46396400000.0
Cyt 0.5% TFA,40.08,0.13500323146394133,40738235868.0
Cyt 0.5% TFA,39.08,0.13253098325293847,39990640000.0
Cyt 0.5% TFA,43.31,0.1306172960067632,39413193309.0
Cyt 0.5% TFA,42.31,0.1207061212015982,36422838474.0
Cyt 0.5% TFA,58.32,0.10319682814123761,31139188000.0
Cyt 10% FA,3.92,0.2357825475519491,57098500000.0
Cyt 10% FA,39.09,0.13502531072801974,32698530000.0
Cyt 10% FA,40.09,0.13330991666200126,32283120000.0
Cyt 2% TFA,3.92,0.7956507703540041,48595843267.0
Cyt 2% TFA,58.28,0.5318727131077933,36436331558.0
Cyt 2% TFA,10.1,0.5076120930062522,31002810000.0
Cyt 2% TFA,39.09,0.49580086648669314,30281430000.0
Cyt 2% TFA,40.09,0.46827948726289764,28600540000.0
Cyt 2% TFA,38.12,0.4356703310995033,26608910000.0
Cyt 2% TFA,7.0200000000000005,0.15501019104283134,9467370000.0
Cyt 2% TFA,24.97,0.14446768325756987,8928123900.0
Cyt 2% TFA,8.61,0.1447107867819863,8838325740.0
Cyt 2% TFA,28.27,0.11046389922469903,6746670000.0
Cyt 20% FA,3.92,0.82290614743067,66387018433.0
Cyt 20% FA,10.09,0.5823134604380369,46976190000.0
Cyt 20% FA,40.08,0.5340179339821147,43080110000.0
Cyt 20% FA,39.09,0.5255123441500282,42393950000.0
Cyt 20% FA,11.07,0.49998664958573924,40334750000.0
Cyt 20% FA,30.92,0.3835966968025721,30945380000.0
Cyt 20% FA,85.83,0.3254015016848421,26250677355.0
Cyt 20% FA,43.28,0.20363103389450773,16427252310.0
Cyt 20% FA,7.0200000000000005,0.14782962055048482,11925931853.0
Cyt 20% FA,16.92,0.14300400980993894,11536370000.0
Cyt 20% FA,14.06,0.12187158081573486,9836825489.0
Cyt 20% FA,28.27,0.10385469473577423,8378130000.0
Cyt 20% FA,1.04,0.10122792325542253,8166224000.0
Hyd 0.5% TFA,3.92,0.38016347622857977,207403415658.0
Hyd 0.5% TFA,39.08,0.1562485930837865,85243570000.0
Hyd 10% FA,3.92,0.14128829987471575,62536075982.0
Hyd 2% TFA,3.92,0.16977461144846132,68376450000.0
Hyd 2% TFA,43.3,0.14220473420951152,55112910000.0
Hyd 2% TFA,10.09,0.11829395204787106,45846040000.0
Hyd 2% TFA,39.09,0.11258495662706527,43633606209.8
Hyd 2% TFA,40.09,0.11130647171756819,43137970000.0
Hyd 20% FA,3.92,0.3126612845942231,162610060000.0
Hyd 20% FA,39.09,0.10160528539099319,52843260000.0
Hyd 20% FA,11.09,0.10062657767468519,52334250000.0
MCW,58.3,0.1153313569988533,179848524254.0
