rel_thresh,condition,n_peaks,n_unannotated,frac_unannot_by_count,frac_unannot_by_ixc
0.03,MCW,37,10,0.27,0.051
0.03,Cyt 0.5% TFA,36,17,0.472,0.217
0.03,Cyt 2% TFA,58,33,0.569,0.421
0.03,Cyt 10% FA,23,7,0.304,0.152
0.03,Cyt 20% FA,74,47,0.635,0.423
0.03,Hyd 0.5% TFA,27,8,0.296,0.155
0.03,Hyd 2% TFA,33,16,0.485,0.228
0.03,Hyd 10% FA,32,12,0.375,0.133
0.03,Hyd 20% FA,31,6,0.194,0.073
0.05,MCW,20,2,0.1,0.02
0.05,Cyt 0.5% TFA,22,10,0.455,0.194
0.05,Cyt 2% TFA,45,25,0.556,0.415
0.05,Cyt 10% FA,17,4,0.235,0.133
0.05,Cyt 20% FA,51,31,0.608,0.407
0.05,Hyd 0.5% TFA,20,6,0.3,0.149
0.05,Hyd 2% TFA,20,9,0.45,0.2
0.05,Hyd 10% FA,24,7,0.292,0.104
0.05,Hyd 20% FA,27,5,0.185,0.07
0.1,MCW,13,1,0.077,0.014
0.1,Cyt 0.5% TFA,18,8,0.444,0.177
0.1,Cyt 2% TFA,24,10,0.417,0.365
0.1,Cyt 10% FA,13,3,0.231,0.125
0.1,Cyt 20% FA,29,13,0.448,0.351
0.1,Hyd 0.5% TFA,8,2,0.25,0.114
0.1,Hyd 2% TFA,12,5,0.417,0.158
0.1,Hyd 10% FA,12,1,0.083,0.03
0.1,Hyd 20% FA,14,3,0.214,0.066
0.15,MCW,9,0,0.0,0.0
0.15,Cyt 0.5% TFA,11,3,0.273,0.104
0.15,Cyt 2% TFA,19,7,0.368,0.349
0.15,Cyt 10% FA,6,1,0.167,0.079
0.15,Cyt 20% FA,18,8,0.444,0.341
0.15,Hyd 0.5% TFA,8,2,0.25,0.114
0.15,Hyd 2% TFA,7,1,0.143,0.05
0.15,Hyd 10% FA,8,0,0.0,0.0
0.15,Hyd 20% FA,10,1,0.1,0.043
0.2,MCW,9,0,0.0,0.0
0.2,Cyt 0.5% TFA,8,2,0.25,0.088
0.2,Cyt 2% TFA,14,6,0.429,0.367
0.2,Cyt 10% FA,4,1,0.25,0.099
0.2,Cyt 20% FA,17,8,0.471,0.346
0.2,Hyd 0.5% TFA,6,1,0.167,0.09
0.2,Hyd 2% TFA,6,0,0.0,0.0
0.2,Hyd 10% FA,5,0,0.0,0.0
0.2,Hyd 20% FA,9,1,0.111,0.044
