Condition,Property,n,mean,median,sd,min,max
MCW,Mass_kDa,747,14.2904,14.0079,4.2488,4.0355,35.8994
MagReSyn 0.5% TFA,Mass_kDa,591,14.947,14.0079,5.5743,3.326,35.9203
MagReSyn 2% TFA,Mass_kDa,494,14.2055,13.8433,4.8626,2.2163,33.2159
MagReSyn 10% FA,Mass_kDa,582,15.0536,14.0104,5.3913,3.527,36.052
MagReSyn 20% FA,Mass_kDa,477,14.5321,13.9939,4.7042,3.4541,36.0259
Cytiva 0.5% TFA,Mass_kDa,568,14.8739,14.0259,4.706,2.2163,35.8994
Cytiva 2% TFA,Mass_kDa,439,14.2796,13.8798,4.5239,4.9335,33.2159
Cytiva 10% FA,Mass_kDa,544,14.4458,14.0079,4.227,3.4541,35.0468
Cytiva 20% FA,Mass_kDa,508,13.957,13.9929,3.7046,3.4541,29.846
MCW,GRAVY,747,-0.6207,-0.5853,0.3676,-2.0424,1.1427
MagReSyn 0.5% TFA,GRAVY,591,-0.6228,-0.5942,0.389,-2.5958,1.4119
MagReSyn 2% TFA,GRAVY,494,-0.6956,-0.6257,0.4154,-2.0424,1.1427
MagReSyn 10% FA,GRAVY,582,-0.6329,-0.5926,0.3748,-2.0424,1.4119
MagReSyn 20% FA,GRAVY,477,-0.6383,-0.5629,0.3935,-2.648,1.1427
Cytiva 0.5% TFA,GRAVY,568,-0.656,-0.5995,0.3707,-2.2705,1.1427
Cytiva 2% TFA,GRAVY,439,-0.6776,-0.5644,0.4126,-2.0424,1.1427
Cytiva 10% FA,GRAVY,544,-0.6333,-0.5978,0.3701,-2.648,1.1427
Cytiva 20% FA,GRAVY,508,-0.6199,-0.5669,0.3317,-2.648,1.1427
MCW,IsoelectricPoint,747,9.7804,10.8616,1.9835,4.1387,12.0
MagReSyn 0.5% TFA,IsoelectricPoint,591,9.2229,10.3147,2.3415,4.05,12.0
MagReSyn 2% TFA,IsoelectricPoint,494,9.3218,10.3153,2.3012,4.05,12.0
MagReSyn 10% FA,IsoelectricPoint,582,9.4124,10.3153,2.1835,4.05,12.0
MagReSyn 20% FA,IsoelectricPoint,477,9.7174,10.4861,2.0104,4.087,12.0
Cytiva 0.5% TFA,IsoelectricPoint,568,9.7178,10.5805,1.9533,4.087,12.0
Cytiva 2% TFA,IsoelectricPoint,439,9.5228,10.3848,2.0705,4.087,12.0
Cytiva 10% FA,IsoelectricPoint,544,9.8056,10.8831,1.9572,4.05,12.0
Cytiva 20% FA,IsoelectricPoint,508,9.9051,10.8831,1.8956,4.6425,12.0
MCW,Aromaticity,747,0.0549,0.0519,0.0281,0.0,0.1899
MagReSyn 0.5% TFA,Aromaticity,591,0.058,0.0519,0.0282,0.0,0.1786
MagReSyn 2% TFA,Aromaticity,494,0.0475,0.0391,0.0282,0.0,0.1899
MagReSyn 10% FA,Aromaticity,582,0.0559,0.0519,0.0271,0.0,0.1899
MagReSyn 20% FA,Aromaticity,477,0.0547,0.0519,0.0304,0.0,0.1899
Cytiva 0.5% TFA,Aromaticity,568,0.054,0.0519,0.0273,0.0,0.1899
Cytiva 2% TFA,Aromaticity,439,0.0473,0.0323,0.028,0.0,0.1899
Cytiva 10% FA,Aromaticity,544,0.0529,0.0519,0.0282,0.0,0.1899
Cytiva 20% FA,Aromaticity,508,0.0531,0.0515,0.0291,0.0,0.1899
MCW,Instability,747,43.6471,44.7566,11.9389,-14.6109,90.9936
MagReSyn 0.5% TFA,Instability,591,42.7994,44.239,13.8465,-19.9588,125.0208
MagReSyn 2% TFA,Instability,494,44.9537,45.6551,13.0495,6.248,90.9936
MagReSyn 10% FA,Instability,582,42.5458,44.3265,13.2092,-19.9588,90.9936
MagReSyn 20% FA,Instability,477,43.8199,44.414,13.2041,-19.9588,120.42
Cytiva 0.5% TFA,Instability,568,43.6047,44.7566,12.5137,5.0393,100.3064
Cytiva 2% TFA,Instability,439,45.2626,46.1198,12.6605,1.4491,100.3064
Cytiva 10% FA,Instability,544,44.1025,45.0052,11.4025,6.248,120.42
Cytiva 20% FA,Instability,508,44.7833,45.5779,11.3793,-14.1714,120.42
