Condition,Property,n,mean,median,sd,min,max
MCW,Mass_kDa,331,14.1469,12.4407,6.0603,4.0355,35.8994
MagReSyn 0.5% TFA,Mass_kDa,335,15.4479,13.7041,7.2438,3.326,35.9203
MagReSyn 2% TFA,Mass_kDa,239,14.1326,11.8338,6.7741,4.8906,33.2159
MagReSyn 10% FA,Mass_kDa,304,15.6729,14.4848,7.2441,3.527,36.052
MagReSyn 20% FA,Mass_kDa,233,15.0478,13.4329,6.4703,3.4541,36.0259
Cytiva 0.5% TFA,Mass_kDa,269,15.3748,14.4298,6.576,4.7723,35.8994
Cytiva 2% TFA,Mass_kDa,206,14.3172,12.2393,6.4285,4.9335,33.2159
Cytiva 10% FA,Mass_kDa,229,14.3211,12.3372,6.2748,3.4541,35.0468
Cytiva 20% FA,Mass_kDa,196,13.2263,11.8084,5.5897,3.4541,29.846
MCW,GRAVY,331,-0.6783,-0.6192,0.5347,-2.0424,1.1427
MagReSyn 0.5% TFA,GRAVY,335,-0.6595,-0.6229,0.5051,-2.5958,1.4119
MagReSyn 2% TFA,GRAVY,239,-0.8297,-0.8281,0.5503,-2.0424,1.1427
MagReSyn 10% FA,GRAVY,304,-0.6819,-0.6226,0.5024,-2.0424,1.4119
MagReSyn 20% FA,GRAVY,233,-0.7125,-0.6229,0.5407,-2.648,1.1427
Cytiva 0.5% TFA,GRAVY,269,-0.7443,-0.6825,0.5127,-2.2705,1.1427
Cytiva 2% TFA,GRAVY,206,-0.8348,-0.8562,0.548,-2.0424,1.1427
Cytiva 10% FA,GRAVY,229,-0.724,-0.6661,0.5439,-2.648,1.1427
Cytiva 20% FA,GRAVY,196,-0.7189,-0.6257,0.5015,-2.648,1.1427
MCW,IsoelectricPoint,331,8.2788,8.8873,2.1672,4.1387,12.0
MagReSyn 0.5% TFA,IsoelectricPoint,335,7.9072,8.5506,2.3637,4.05,12.0
MagReSyn 2% TFA,IsoelectricPoint,239,7.7681,8.2393,2.484,4.05,12.0
MagReSyn 10% FA,IsoelectricPoint,304,8.0247,8.6067,2.2335,4.05,12.0
MagReSyn 20% FA,IsoelectricPoint,233,8.4948,9.2164,2.2868,4.087,12.0
Cytiva 0.5% TFA,IsoelectricPoint,269,8.3549,8.8873,2.0991,4.087,12.0
Cytiva 2% TFA,IsoelectricPoint,206,8.0508,8.8902,2.2301,4.087,12.0
Cytiva 10% FA,IsoelectricPoint,229,8.2426,8.8455,2.1793,4.05,12.0
Cytiva 20% FA,IsoelectricPoint,196,8.2584,8.9059,2.181,4.6425,12.0
MCW,Aromaticity,331,0.068,0.0674,0.0359,0.0,0.1899
MagReSyn 0.5% TFA,Aromaticity,335,0.0685,0.0685,0.0321,0.0,0.1786
MagReSyn 2% TFA,Aromaticity,239,0.0564,0.0505,0.0361,0.0,0.1899
MagReSyn 10% FA,Aromaticity,304,0.0667,0.0674,0.032,0.0,0.1899
MagReSyn 20% FA,Aromaticity,233,0.0682,0.0641,0.0367,0.0,0.1899
Cytiva 0.5% TFA,Aromaticity,269,0.0659,0.0637,0.0337,0.0,0.1899
Cytiva 2% TFA,Aromaticity,206,0.0591,0.0525,0.0355,0.0,0.1899
Cytiva 10% FA,Aromaticity,229,0.0674,0.0652,0.0364,0.0,0.1899
Cytiva 20% FA,Aromaticity,196,0.0717,0.0674,0.0372,0.0,0.1899
MCW,Instability,331,42.5123,40.8378,16.7861,-14.6109,90.9936
MagReSyn 0.5% TFA,Instability,335,41.4224,41.258,17.7886,-19.9588,125.0208
MagReSyn 2% TFA,Instability,239,45.2994,43.9757,17.4667,6.248,90.9936
MagReSyn 10% FA,Instability,304,40.7018,38.4675,17.5303,-19.9588,90.9936
MagReSyn 20% FA,Instability,233,43.6777,42.6533,18.1281,-19.9588,120.42
Cytiva 0.5% TFA,Instability,269,42.345,40.0474,17.1755,5.0393,100.3064
Cytiva 2% TFA,Instability,206,45.3667,44.6788,17.5349,1.4491,100.3064
Cytiva 10% FA,Instability,229,42.8917,41.4583,16.4156,6.248,120.42
Cytiva 20% FA,Instability,196,44.3613,42.7329,17.213,-14.1714,120.42
